type,title,director,cast,country,release_year,rating,genre,platform,imdb_rating,id,image_url,description
Movie,Jungle Cruise,jaume colletserra,"dwayne johnson,emily blunt,edgar ramirez,jack whitehall,jesse plemons,paul giamatti",United States,2021,PG-13,"action adventure,comedy,family",hotstar,6.6,11574145751424675997,https://m.media-amazon.com/images/M/MV5BNDE1MGRlNTQtZjc4ZC00MTI0LWEwY2MtODk1YTM2NmFmYTNmXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,Dr. Lily Houghton & skipper Frank Wolff team up for a wild ride on the Amazon.
Movie,Paperman,john kahrs,"john kahrs,kari wahlgren",United States,2012,G,"animation,comedy,family",hotstar,8.2,13552349780832222904,https://m.media-amazon.com/images/M/MV5BMTM4ODg0MzM0MV5BMl5BanBnXkFtZTcwNDY2MTc3Nw@@._V1_SX300.jpg,A young man strives to find girl of his dreams.
Movie,Tangled Ever After,"nathan greno,byron howard","mandy moore,zachary levi,alan dale,paul f tompkins,kari wahlgren,mark allen stewart",United States,2012,G,"animation,family",hotstar,7.5,3639779555522671113,https://m.media-amazon.com/images/M/MV5BMTgzNDAxNDg2Nl5BMl5BanBnXkFtZTcwNzMzNTIyNw@@._V1_SX300.jpg,It's up to Max and Pascal to save the royal wedding.
Movie,The Little Matchgirl,roger allers,unknown,United States,2006,G,"animation,drama",hotstar,7.8,16122302593775454491,https://m.media-amazon.com/images/M/MV5BMzg0ODg5MjgtN2E5My00YzA4LTlhNDUtZWZkMDA5ODRkOTAwXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,A poor matchgirl sees happy images in the flames of her matches.
Movie,Tick Tock Tale,dean wellins,unknown,United States,2010,G,"animation,crime,family",hotstar,7.3,8544935677671046219,https://m.media-amazon.com/images/M/MV5BMTQ5MDA1MDA0MF5BMl5BanBnXkFtZTgwNDYzODA2NjE@._V1_SX300.jpg,A tale of a quirky mantle clock.
Movie,Alvin and the Chipmunks: Chipwrecked,mike mitchell,"jason lee,david cross,jenny slate,justin long,matthew gray gubler,jesse mccartney",United States,2011,G,"comedy,family,music",hotstar,4.3,6481588581730364121,https://m.media-amazon.com/images/M/MV5BMTNiMGI2YWMtNTg0ZS00NDg4LWE5ZTgtMjhiMjIzYzVlYTE3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,The Chipmunks and Chipettes get stranded on a remote island – or so it would seem.
Movie,Jingle All The Way,brian levant,"arnold schwarzenegger,sinbad,phil hartman,rita wilson,robert conrad,martin mull",United States,1996,PG,"comedy,family",hotstar,5.7,3115944043511973394,https://m.media-amazon.com/images/M/MV5BMmJlYzViNzctMjQ1Ni00ZWQ4LThkN2YtMzI2ZGU5Nzk0NTAyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,A father's Christmas Eve turns into a madcap scramble to find a much sought-after toy for his son.
Movie,Jingle All the Way 2,alex zamm,"larry the cable guy,brian stepanek,santino marella,kennedi clements,kirsten robek,rachel hayward",United States,2014,PG,"comedy,family",hotstar,3.9,8922849372193202804,https://m.media-amazon.com/images/M/MV5BYzMzOTU0ZGUtOGIxYi00MDU2LWIyZmItMTZkOGM3MzQxNjU5XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,Two dads compete to be the best father and make Christmas amazing!
Movie,Snow Buddies,robert vince,"dominic scott kay,john kapelos,lise simms,mike dopud,charles c stevenson jr,dylan minnette",United States,2008,G,"action adventure,comedy,kids",hotstar,5.2,4745523297435246969,https://m.media-amazon.com/images/M/MV5BMTkwOTEwODAxMV5BMl5BanBnXkFtZTcwMDA0MjE2MQ@@._V1_SX300.jpg,Disney’s favorite talking pups put one paw in front of the other in a thrilling Alaskan adventure.
TV Show,Photo Ark,unknown,joel sartore,United States,2017,TV-PG,"animals  nature,docuseries,family",hotstar,8.2,4405450588316352618,https://m.media-amazon.com/images/M/MV5BM2ZkOTUyNGEtNTc1OC00ODk3LWIyOTMtZWQyNjM2N2VlYjU2XkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_SX300.jpg,National Geographic photographer Joel Sartore photographs some of the rarest animals in the world.
Movie,"McFarland, USA",niki caro,"kevin costner,maria bello,morgan saylor,martha higareda,michael aguero,sergio avelar",United States,2015,PG,"drama,sports",hotstar,1.0,11018474301244609098,https://m.media-amazon.com/images/M/MV5BMjMwNjY2Mjk5OV5BMl5BanBnXkFtZTgwODM2NTA0MzE@._V1_SX300.jpg,A coach guides underdogs past tremendous obstacles to become champions.
Movie,Rookie of the Year,daniel stern,"thomas ian nicholas,gary busey,albert hall,amy morton,dan hedaya,eddie bracken",United States,1993,PG,"comedy,family,sports",hotstar,1.0,1629978668752177849,https://m.media-amazon.com/images/M/MV5BZGJhODAwNDQtNGY0My00ZDA4LTgwOTMtMTA5NzdhZTQ0YmIwXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,"A 12-year-old boy can throw a 100 mph fastball, and the Chicago Cubs want him as their new pitcher!"
Movie,Black Widow,cate shortland,"scarlett johansson,florence pugh,david harbour,ot fagbenle,rachel weisz,ray winstone",United States,2021,PG-13,"action adventure,science fiction,spyespionage",hotstar,1.0,5405034297167855889,https://m.media-amazon.com/images/M/MV5BNjRmNDI5MjMtMmFhZi00YzcwLWI4ZGItMGI2MjI0N2Q3YmIwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,Natasha confronts her history as a spy and the broken relationships left in her wake.
Movie,Fauci,"john hoffman,janet tobias","dr anthony fauci,bono,george w bush,peter staley",United States,2021,PG-13,"biographical,documentary",hotstar,6.5,17559013300999671683,https://m.media-amazon.com/images/M/MV5BMWRiYTJiOWUtZjQxNC00NTY4LTgzZmQtODk5OTRmNWQwNWYwXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_SX300.jpg,"""Fauci"" reveals the extraordinary life and career of Dr. Anthony Fauci."
TV Show,IMPACT with Gal Gadot,unknown,gal gadot,United States,2021,TV-14,docuseries,hotstar,5.1,7049832274897996503,https://m.media-amazon.com/images/M/MV5BYzQ2OGU2NjctYzRlYi00MWUwLTlhODktMmUzZjU3ZDc4MjlkXkEyXkFqcGdeQXVyMjE4MjEyNzI@._V1_SX300.jpg,National Geographic Presents IMPACT with Gal Gadot honors impactful women.
TV Show,The Ghost and Molly McGee,unknown,"ashly burch,dana snyder",United States,2021,TV-Y7,"animation,buddy,coming of age",hotstar,7.6,7654855533293424122,https://m.media-amazon.com/images/M/MV5BZTIxOWE4NmQtNmNmMC00MDVhLThkZGUtYmFhNDYxZWFhOTk0XkEyXkFqcGdeQXVyMTE2NDA4MDMy._V1_SX300.jpg,A grumpy ghost and cheerful tween are eternally bound.
Movie,Alvin and the Chipmunks,tim hill,"jason lee,david cross,cameron richardson,jane lynch,justin long,matthew gray gubler",United States,2007,PG,"animation,comedy,family",hotstar,5.2,2924419466766339223,https://m.media-amazon.com/images/M/MV5BMjdmNWY4MjItMjBiMi00MWNiLWI0ZjctYzBjZmEzOGRmNTc5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Pop-singer Chipmunks Alvin, Simon and Theodore turn a songwriter's life upside-down."
Movie,Alvin and the Chipmunks: The Road Chip,walt becker,"jason lee,tony hale,kimberly williamspaisley,josh green,bella thorne,uzo aduba",United States,2015,PG,"comedy,family,music",hotstar,4.9,4265424206447197514,https://m.media-amazon.com/images/M/MV5BMTcyNDY0MjY2M15BMl5BanBnXkFtZTgwMTU3Mjk4NjE@._V1_SX300.jpg,"Your favorite fur balls, the Chipmunks, hit the road for an all-new, music-filled adventure."
TV Show,The Simpsons,unknown,"dan castellaneta,julie kavner,nancy cartwright,yeardley smith,hank azaria,pamela hayden",United States,1989,TV-PG,"animation,comedy",hotstar,8.7,809669150470700963,https://m.media-amazon.com/images/M/MV5BYjFkMTlkYWUtZWFhNy00M2FmLThiOTYtYTRiYjVlZWYxNmJkXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"The world’s favorite nuclear family, in the award-winning, history-making series."
Movie,The Fault in Our Stars,josh boone,"shailene woodley,ansel elgort,laura dern,sam trammell,nat wolff,willem dafoe",United States,2014,PG-13,"coming of age,drama,romance",hotstar,1.0,8447722375326558906,https://m.media-amazon.com/images/M/MV5BNTVkMTFiZWItOTFkOC00YTc3LWFhYzQtZTg3NzAxZjJlNTAyXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,Hazel and Gus share a love that sweeps them on an unforgettable journey.
TV Show,Dog: Impossible,unknown,matt beisner,United States,2019,TV-PG,"animals  nature,docuseries,family",hotstar,7.7,8511626166826938291,https://m.media-amazon.com/images/M/MV5BZjcyZTRhOGUtZjliMS00OGVkLTg5OWMtZmU1OGEyYTZhMDNmXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_SX300.jpg,Matt Beisner uses unique approaches to modifying canine behavior and focuses on each animal’s needs.
TV Show,Spidey And His Amazing Friends,unknown,"benjamin valic,lily sanfelippo,jakari fraser,dee bradley baker,melanie minichino",United States,2021,TV-Y,"action adventure,animation,kids",hotstar,5.9,4731473078132276968,https://m.media-amazon.com/images/M/MV5BMGE1NzQ1NzYtNWY5OC00OTQxLWFiZTAtZDNkNmVhNDk3NDgzXkEyXkFqcGdeQXVyMTU3NDg0OTgx._V1_SX300.jpg,Spidey teams up with pals to become The Spidey Team!
Movie,Confessions of a Shopaholic,pj hogan,"isla fisher,hugh dancy,joan cusack,john goodman,john lithgow,kristin scott thomas",United States,2009,PG,"comedy,romance,romantic comedy",hotstar,5.8,3175485190137720477,https://m.media-amazon.com/images/M/MV5BMzFlMjVkMzQtMTk2OS00ZTY2LWEyMGMtM2ZkN2QxN2FkNzUzXkEyXkFqcGdeQXVyMTUyOTc1NDYz._V1_SX300.jpg,Becky writes a personal finance column en route to a high-fashion mag job.
TV Show,Life Below Zero,unknown,"chip hailstone,agnes hailstone,sue aikens,andy bassich",United States,2012,TV-14,"action adventure,animals  nature,docuseries",hotstar,1.0,9426641287092382032,https://m.media-amazon.com/images/M/MV5BMjAzMTU3MzQ0Ml5BMl5BanBnXkFtZTgwODcyNDEwMzE@._V1_SX300.jpg,"Experience life deep in Alaska where the primal way lives on – brave the wild, fight the freeze."
Movie,Twenty Something,aphton corbin,"kaylin price,ariana brown,aliyah taylor,janelle lasalle,napoleon highbrou",United States,2021,PG,"animation,family",hotstar,7.1,6688094824798157995,https://m.media-amazon.com/images/M/MV5BYTc2MWNiMmYtMTc5ZC00NDJkLThhZTEtYTY0ZWNjNmQ1YjkwXkEyXkFqcGdeQXVyODQ4MjU1MDk@._V1_SX300.jpg,"Adulting is hard. One day you're nailing it, the next you're a stack of kids hiding in a trenchcoat."
TV Show,"Doogie Kamealoha, M.D.",unknown,"peyton elizabeth lee,emma meisel,matthew sato,wes tian,jeffrey bowyerchapman,mapuana makia",United States,2021,TV-PG,"comedy,coming of age,family",hotstar,7.0,7471979709987619912,https://m.media-amazon.com/images/M/MV5BNzdlZTAyNmQtMzQ3Yy00YzA5LWI4MmItN2U4OTY4ZGQ5MDM2XkEyXkFqcGdeQXVyMTU5OTc2NTk@._V1_SX300.jpg,A 16-year-old prodigy juggles her budding medical career with the daily challenges of teenage life.
TV Show,"Mira, Royal Detective",unknown,"leela ladnier,utkarsh ambudkar,roshni edwards,kal penn,kamran lucas",United States,2020,TV-Y,"animation,fantasy,kids",hotstar,7.4,5553622068904223030,https://m.media-amazon.com/images/M/MV5BMjAyNDlmZTAtNmE5OS00MDdiLTk4ZGMtNWZiZjVjZWUxMjlhXkEyXkFqcGdeQXVyODg3NDc1OTE@._V1_SX300.jpg,Mira is the new royal detective in the land of Jalpur!
TV Show,Pepper Ann,unknown,"kathleen wilhoite,clea lewis,danny cooksey,pamela segall,april winchell,don adams",United States,1997,TV-Y,"animation,comedy,coming of age",hotstar,7.1,3467328203175136836,https://m.media-amazon.com/images/M/MV5BMDcwYzA4MGMtODkxMy00Njk0LWFlMDQtMDUyNjhmODFjMGMwXkEyXkFqcGdeQXVyMTIwMjY0NjQz._V1_SX300.jpg,Pepper Ann Pearson is a teenage girl on an eternal quest for coolness.
TV Show,The Incredible Dr. Pol,unknown,"rick robles,dr pol",United States,2011,TV-14,"animals  nature,docuseries,family",hotstar,8.6,15732397432666791642,https://m.media-amazon.com/images/M/MV5BMmQ1ZWIwOGQtYzFhOS00Y2ZlLWE0OTYtN2RhZjUwOWU1Zjk5XkEyXkFqcGdeQXVyMzU3MTc5OTE@._V1_SX300.jpg,Dr. Pol and his team handle challenging veterinary cases and animal emergencies in central Michigan.
Movie,Happier Than Ever: A Love Letter to Los Angeles,"robert rodriguez,patrick osborne","billie eilish,finneas",United States,2021,TV-14,"concert film,music",hotstar,7.3,4767525513505976650,https://m.media-amazon.com/images/M/MV5BZmIxOTdhNTItNmQ2Yy00OWZmLThlNDMtYzUyYTRjMjZiODg3XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SX300.jpg,"Billie Eilish makes her Disney+ debut with ""Happier Than Ever: A Love Letter to Los Angeles."""
TV Show,Alaska Animal Rescue,unknown,victoria vosburg,United States,2019,TV-PG,"animals  nature,docuseries,family",hotstar,8.6,11166688022742515740,https://m.media-amazon.com/images/M/MV5BYWIzMDcxZDUtMmNiOC00YmU5LWJiOWYtYzBlNDZlYzc1MjFkXkEyXkFqcGdeQXVyMzIyNjQxODE@._V1_SX300.jpg,Conservation heroes rescue and rehabilitate the wild animals of America’s last frontier.
TV Show,Dug Days,unknown,"bob peterson,ed asner,jordan nagai",United States,2021,TV-PG,"animation,comedy,family",hotstar,8.0,12497563536981329522,https://m.media-amazon.com/images/M/MV5BOGY0NTk0YjItZDZiMS00MGY3LWFiZjYtNGIwODYwYmE5YjY3XkEyXkFqcGdeQXVyMTE5NDQ1MzQ3._V1_SX300.jpg,"“Dug Days” is a collection of shorts that follows the adventures of Dug, the dog from Pixar’s “Up.”"
Movie,Dan in Real Life,peter hedges,"steve carell,juliette binoche,dane cook,john mahoney,emily blunt,alison pill",United States,2007,PG-13,"comedy,drama,romance",hotstar,6.8,7263370652139417839,https://m.media-amazon.com/images/M/MV5BNjc2NjI0MTgtNmI1Zi00ZjRiLTk5MTEtNmYzYjhhMTJlNTYwXkEyXkFqcGdeQXVyMTI0NTA1MDI3._V1_SX300.jpg,A relationship expert falls in love with his brother's new girlfriend.
Movie,Marvel One-Shot: All Hail the King,drew pearce,"ben kingsley,scoot mcnairy,lester speight,sam rockwell,matt gerald,allen maldonado",United States,2014,TV-14,"comedy,drama,thriller",hotstar,1.0,13978859488419530467,https://image.tmdb.org/t/p/w500/ozXvopXv1TiOTls8zb09dBmu9dt.jpg,"Locked up in prison, infamous icon Trevor Slattery agrees to meet with a documentary filmmaker."
Movie,Underdog,frederik du chau,"jason lee,amy adams,jim belushi,peter dinklage,patrick warburton,alex neuberger",United States,2007,PG,"action adventure,family,parody",hotstar,4.8,1236380545834021940,https://m.media-amazon.com/images/M/MV5BMTk5NjkyNzEwOV5BMl5BanBnXkFtZTcwODc5NDI1MQ@@._V1_SX300.jpg,A super-powered beagle tries to save Capital City from a mad scientist.
TV Show,Life Below Zero: Next Generation,unknown,mocean melvin,United States,2020,TV-14,"action adventure,animals  nature,docuseries",hotstar,5.4,9474151383131589552,https://m.media-amazon.com/images/M/MV5BOTc3YzQxODMtOTIzYy00M2NlLTlmNGEtNWVhYjc4MzBkNjg4XkEyXkFqcGdeQXVyMTk1NzA1NDc@._V1_SX300.jpg,The next generation of Alaskans struggle to survive without modern-day comforts.
Movie,X-Men,bryan singer,"patrick stewart,hugh jackman,ian mckellen,halle berry,famke janssen,james marsden",United States,2000,PG-13,"action adventure,family,science fiction",hotstar,,687902700469044280,,"The X-Men, a small band of outcast mutants, fight to save a world that hates and fears them."
TV Show,Chicken Squad,unknown,"ramone hamilton,gabriella graves,maxwell simkins,yvette nicole brown",United States,2021,TV-Y,"animation,kids,policecop",hotstar,5.8,8353911524189918147,https://m.media-amazon.com/images/M/MV5BNjc3NjM0YTctN2ZhZi00YTU3LTk3MDQtODY5ODkxOTIyY2IyXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SX300.jpg,BAGAWK! Say hello to the Chicken Squad.
TV Show,Gabby Duran And The Unsittables,unknown,"kylie cantrall,maxwell donovan,callan farris,coco christo,valery ortiz,nathan lovejoy",United States,2018,TV-G,"comedy,family,science fiction",hotstar,,12552368754202118544,https://m.media-amazon.com/images/M/MV5BOWQxYmY2NDMtZTdkZS00OGMxLTllYWEtMzkzMmU3Y2UyM2NjXkEyXkFqcGdeQXVyNDY3ODUxODU@._V1_SX300.jpg,"Meet Gabby Duran, your average alien-babysitting girl."
Movie,Beverly Hills Chihuahua 2,alex zamm,"george lopez,odette yustman,miguel ferrer,ernie hudson,loretta devine,jon huertas",United States,2011,G,"action adventure,comedy,family",hotstar,4.2,15508495672883980001,https://m.media-amazon.com/images/M/MV5BMjI0MDU4MzYzNF5BMl5BanBnXkFtZTcwMjg3MjA1NA@@._V1_SX300.jpg,"Papi and Chloe, those talking Chihuahuas, are back... with a few surprises."
Movie,Beverly Hills Chihuahua 3: Viva La Fiesta!,lev l spiro,"george lopez,odette annable,ernie hudson,miguel ferrer,kay panabaker,tom kenny",United States,2012,G,"comedy,coming of age,family",hotstar,4.4,8511531062477369494,https://m.media-amazon.com/images/M/MV5BMTk1Mjc5NTI1MF5BMl5BanBnXkFtZTcwODAzMzM3Nw@@._V1_SX300.jpg,"Papi plans a ""Quince"" for the littlest member of his pack."
Movie,Mrs. Doubtfire,chris columbus,"robin williams,sally field,pierce brosnan,harvey fierstein,polly holliday,lisa jakub",United States,1993,PG-13,"comedy,drama",hotstar,5.5,2747106192031905491,,An eccentric dad dresses as a British nanny so he can care for his kids at the home of their mother.
Movie,Garfield,peter hewitt,"breckin meyer,jennifer love hewitt,stephen tobolowsky,bill murray,evan arnold,mark lawrence",United States,2004,PG,"comedy,family",hotstar,5.0,12081252237939817940,https://m.media-amazon.com/images/M/MV5BMTIzMTc1OTUxOV5BMl5BanBnXkFtZTYwNTMxODc3._V1_SX300.jpg,"Garfield lures Odie out of the house but once he's lost, Garfield springs into action to save him."
TV Show,Critter Fixers: Country Vets,unknown,sullivan jones,United States,2020,TV-14,"animals  nature,docuseries,family",hotstar,8.9,10701217259685108337,https://m.media-amazon.com/images/M/MV5BNzFhYjAwZjEtNGMwZi00OTk5LWI4OGUtOTE3YTI3ZTMzMzdiXkEyXkFqcGdeQXVyOTIyMTc1OTU@._V1_SX300.jpg,Dr. Hodges and Dr. Ferguson own and operate a bustling veterinary clinic.
TV Show,Mickey Mouse Funhouse,unknown,"bret iwan,kaitlyn robrock,bill farmer,tony anselmo,tress macneille,harvey guillén",United States,2021,TV-Y,"animation,kids",hotstar,5.6,1271832072324012832,https://m.media-amazon.com/images/M/MV5BNzg0ZTU4OGMtYjdjOS00M2NiLWE3ZGEtZWY0ZDE1MGVmOWQzXkEyXkFqcGdeQXVyMTE1NzQ0OTgw._V1_SX300.jpg,Mickey Mouse Funhouse is filled with silly adventure!
Movie,We Bought a Zoo,cameron crowe,"matt damon,scarlett johansson,thomas haden church,patrick fugit,colin ford,elle fanning",United States,2011,PG,"animals  nature,drama,family",hotstar,7.1,15491810881956290282,https://m.media-amazon.com/images/M/MV5BMTQ0MTE3OTUwMl5BMl5BanBnXkFtZTcwODg5NjgwNw@@._V1_SX300.jpg,A single dad tries to give his family a fresh start by moving to a home in the middle of a zoo.
TV Show,So Random!,unknown,"tiffany thornton,sterling knight,brandon mychal smith,doug brochu,allisyn ashley arm",United States,2011,TV-G,"comedy,coming of age",hotstar,4.5,4400376441598814541,https://m.media-amazon.com/images/M/MV5BZDZhMDExZTQtYWQwNi00ZTI5LWIyY2QtY2ZiM2JiZTQ2ODUyXkEyXkFqcGdeQXVyMTIwMjY0NjQz._V1_SX300.jpg,A musical sketch comedy show.
Movie,Shark Beach with Chris Hemsworth,sally aitken,chris hemsworth,United States,2021,TV-PG,"animals  nature,documentary",hotstar,6.6,6920846437981973394,https://m.media-amazon.com/images/M/MV5BOThmNDQ1ZTctZTI1Ni00ZjY3LTgxMDItNTRjZTM2NmRhYzE1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Chris Hemsworth investigates how we can live harmoniously with sharks.
TV Show,When Sharks Attack,unknown,eric meyers,United States,2013,TV-14,reality,hotstar,6.1,9588064276166546580,https://m.media-amazon.com/images/M/MV5BNjYzMjM2MDMxNl5BMl5BanBnXkFtZTgwOTkwNzE1ODE@._V1_SX300.jpg,National Geographic investigates shark attacks.
TV Show,Breaking Bobby Bones,unknown,bobby bones,United States,2021,TV-14,"action adventure,docuseries,reality",hotstar,,4450797057312536871,https://m.media-amazon.com/images/M/MV5BZjhiYTcyNTYtZDg2Zi00MDIwLWEyMTktNzk0ZmIyYzEyZmQ4XkEyXkFqcGdeQXVyNDA3MTM1Mjg@._V1_SX300.jpg,Bobby Bones travels to meet local heroes who challenge him to conquer their trades.
TV Show,Monsters at Work,unknown,"billy crystal,john goodman,ben feldman,mindy kaling,henry winkler,lucas neff",United States,2021,TV-G,"animation,comedy,family",hotstar,7.0,15873578553283005100,https://m.media-amazon.com/images/M/MV5BMzlhZDJiNGYtMjUwNC00Y2Y1LTk0MGYtN2FjMjY3YzU3NWExXkEyXkFqcGdeQXVyMTE5NDQ1MzQ3._V1_SX300.jpg,"""Monsters at Work"" tells the story of Tylor Tuskmon and his dream to become a Jokester."
TV Show,Disney Raven's Home,unknown,"ravensymoné,issac brown,navia robinson,jason maybaum,sky katz,anneliese van der pol",United States,2016,TV-G,"comedy,family,fantasy",hotstar,1.0,4492722357492396756,https://image.tmdb.org/t/p/w500/ivN91KbfyvtPmPK1Jqe6BwSIoTt.jpg,Raven and Chelsea raise their three children together.
Movie,The Sandlot,david mickey evans,"art la fleur,tom guiry,mike vitar,patrick renna,chauncey leopardi,marty york",United States,1993,PG,"comedy,coming of age,family",hotstar,7.8,7815219059663771958,https://m.media-amazon.com/images/M/MV5BODllYjM1ODItYjBmOC00MzkwLWJmM2YtMjMyZDU3MGJhNjc4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,A shy boy moves to a new neighborhood and becomes involved with a ragtag baseball team.
Movie,The Sandlot 2,david mickey evans,"max lloydjones,james willson,samantha burton,brett kelly,james earl jones,cole evan weiss",United States,2005,PG,"comedy,sports",hotstar,4.5,6724707956563943237,https://m.media-amazon.com/images/M/MV5BMTI5MjY1NjE4MV5BMl5BanBnXkFtZTcwOTcwMjgyMQ@@._V1_SX300.jpg,"10 years after the events at The Sandlot, a team of boys and girls overcome an all-new challenge."
