type,title,director,cast,country,release_year,rating,genre,platform,imdb_rating,id,image_url
Movie,monster high haunted,"['dan fraga', 'william lau']",unknown,United States,2015,TV-Y7,family,netflix,6.2,15624602077664896421,https://m.media-amazon.com/images/M/MV5BMTk5NDM0NTE3MF5BMl5BanBnXkFtZTgwOTI0MzU3NDE@._V1_SX300.jpg
Movie,ralphie may unruly,['john asher'],ralphie may,United States,2015,TV-MA,comedy,netflix,4.8,822625202902607847,https://m.media-amazon.com/images/M/MV5BOWVhZDViYjUtNDE4MC00YTJmLWE2MzUtZTYwOWE2ZDg5ZWQxXkEyXkFqcGdeQXVyMzcyNTQ5NzI@._V1_SX300.jpg
Movie,spy kids 3 game over,['robert rodriguez'],"daryl sabara,sylvester stallone,ricardo montalban,alexa penavega",United States,2003,PG,"family,comedy",netflix,4.3,17085381701688537296,https://m.media-amazon.com/images/M/MV5BMTI4MTQyNTUzMF5BMl5BanBnXkFtZTcwNzE2MDAwMQ@@._V1_SX300.jpg
Movie,the christmas chronicles,['clay kaytis'],"kurt russell,darby camp,judah lewis,kimberly williamspaisley,oliver hudson,lamorne morris,martin roach",United States,2018,TV-PG,"family,comedy",netflix,7.0,1447463284028437050,https://m.media-amazon.com/images/M/MV5BNTA3NjU3OTM2MV5BMl5BanBnXkFtZTgwNjQ2MzE1NjM@._V1_SX300.jpg
Movie,the ghost who walks,['cody stokes'],"garland scott,frank mosley,alexia rasmussen,gil darnell,dasha nekrasova,nattalyee randall,linda kennedy,peter mayer,curtis york,dennis lebby",United States,2019,TV-MA,"drama,independent,thriller",netflix,5.4,11527927690927778513,https://m.media-amazon.com/images/M/MV5BNDZlODhhZGMtNGZlYy00N2I1LWJhM2UtNjM4OWZhNzIzMjNjXkEyXkFqcGdeQXVyNDUwOTIzMg@@._V1_SX300.jpg
Movie,lessons from a school shooting notes from dunblane,['kim a snyder'],unknown,United States,2018,TV-14,documentaries,netflix,1.0,4667112787076413675,url
TV Show,are you the one,['unknown'],ryan devlin,United States,2014,TV-14,reality,netflix,6.6,14188332112542046108,https://m.media-amazon.com/images/M/MV5BMTU4ODkyZGYtZTZhZS00NjZlLTkwYzYtZWRlNTY3MmJjMjFhXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_SX300.jpg
Movie,tig notaro happy to be here,['tig notaro'],tig notaro,United States,2018,TV-14,comedy,netflix,6.6,1843245671872943868,https://m.media-amazon.com/images/M/MV5BNWQxMDgzYjAtZTZkOS00MWM2LWIxNTUtZTUwYmUxMWQ0NzM1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
TV Show,the flash,['glen winter'],"grant gustin,candice patton,danielle panabaker,carlos valdes,tom cavanagh,jesse l martin,neil sandilands,britne oldford,danielle nicolet,keiynan lonsdale,kim engelbrecht",United States,2021,TV-14,"crime,action adventure,scifi",netflix,7.5,16712976167135484814,https://m.media-amazon.com/images/M/MV5BZDcwMzU4NWYtODIzZi00Yzg4LWJhOTAtOTQ2ZDA4NmFlYmFlXkEyXkFqcGdeQXVyMTY1MTU3NDY5._V1_SX300.jpg
Movie,the body,['jeethu joseph'],"rishi kapoor,emraan hashmi,sobhita dhulipala,vedika,anupam bhattacharya,chandan anand,arif zakaria,rukhsar ahmed",India,2019,TV-14,"international,thriller",netflix,7.6,15428970184444169127,https://m.media-amazon.com/images/M/MV5BZjJkMzE5MTQtYWUwOS00MWYxLWE4OTItZDJjNjY0YmY4Njg5XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg
TV Show,mystery science theater 3000,['unknown'],"joel hodgson,michael j nelson,kevin murphy,trace beaulieu,jim mallon,frank conniff,mary jo pehl,bill corbett,patrick brantseg,j elvis weinstein",United States,1999,TV-14,"comedy,scifi",netflix,8.6,16233792161570994913,https://m.media-amazon.com/images/M/MV5BNTA0OGRiYTMtMjliYS00ZjZkLWI2ODEtMWI5ZmM5OTBjYmNlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg
Movie,tahaan,['santosh sivan'],"purav bhandare,anupam kher,rahul bose,victor banerjee,ankush dubey,rasika dugal,rahul khanna,sana shaikh,dheirya sonecha,fatima sana shaikh,sarika",India,2008,TV-14,"drama,international",netflix,7.1,3057049510970646391,https://m.media-amazon.com/images/M/MV5BMjI3MzgwNTY5M15BMl5BanBnXkFtZTgwNjcwMzcwMzE@._V1_SX300.jpg
TV Show,aj and the queen,['unknown'],"rupaul charles,izzy g,michaelleon wooley,josh segarra,katerina tannenbaum,tia carrere",United States,2020,TV-14,"comedy,drama",netflix,7.6,3498217968448956078,https://m.media-amazon.com/images/M/MV5BYjIyMjRmZWUtZTYwYS00ZjNjLTgwMDktZTEwMTBjOGYxMmUzXkEyXkFqcGdeQXVyNTQ1NTExNzM@._V1_SX300.jpg
Movie,muran,['rajan madhav'],"prasanna,cheran,haripriya,nikhita,suma bhattacharya,jayaprakash",India,2011,TV-14,"action adventure,international",netflix,6.3,1293081732182666742,https://m.media-amazon.com/images/M/MV5BMTI1MmZlZWQtMzIyYS00ZDgxLWIyNzQtZTQ4Yzg5NGYwYzlhXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_SX300.jpg
Movie,deadline sirf 24 ghante,['tanveer khan'],"irrfan khan,konkona sen sharma,rajit kapoor,sandhya mridul,zakir hussain,rajeev verma,princey shukla",India,2006,TV-14,"independent,international,thriller",netflix,6.3,5330309065223369970,https://m.media-amazon.com/images/M/MV5BNTIzYWFiZjAtMDFkMS00M2JmLWFiOWQtMjRlNzljZTI1ZDc3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg
TV Show,alaskas grizzly gauntlet,['unknown'],les stroud,United States,2018,TV-PG,"animals  nature,docuseries,family",hotstar,1.0,5038721878254114648,url
Movie,den of thieves,['christian gudegast'],"gerard butler,pablo schreiber,oshea jackson jr,50 cent,meadow williams,maurice compte,brian van holt,evan jones,mo mcrae,kaiwi lyman",United States,2018,R,action adventure,netflix,7.0,16497494549333275894,https://m.media-amazon.com/images/M/MV5BMzYyODcwMDAyM15BMl5BanBnXkFtZTgwOTA4MjIwNDI@._V1_SX300.jpg
TV Show,the movies that made us,['unknown'],unknown,United States,2021,TV-MA,docuseries,netflix,7.6,3049494354805707502,https://m.media-amazon.com/images/M/MV5BNGY1NzAyYTQtYmQxZi00NjQ3LWFkMzUtYjA0ZjRhYjI0MTRkXkEyXkFqcGdeQXVyNjAzOTE0OTI@._V1_SX300.jpg
TV Show,hot date,['unknown'],"emily axford,brian murphy",United States,2018,TV-MA,"romance,comedy",netflix,7.1,9312059154763464569,https://m.media-amazon.com/images/M/MV5BOWZhYmU1ZTktNmNhZC00NWZmLTgwMzMtMDVlYjQ5ZjZmOGE4XkEyXkFqcGdeQXVyMjk1MjQ3NzI@._V1_SX300.jpg
Movie,judge singh llb,['atharv baluja'],"ravinder grewal,bn sharma,sardar sohi,chandan prabhakar,anita devgan,harpal singh,hardeep gill,surbhi mahendru",India,2015,TV-PG,"comedy,drama,international",netflix,7.3,4311352270511028884,https://m.media-amazon.com/images/M/MV5BNmJiZDRhZmQtNWJlMS00YmNkLTk2MzQtZTU4N2Y3MjMwMjQzXkEyXkFqcGdeQXVyNDY1OTMzODM@._V1_SX300.jpg
Movie,mud,['jeff nichols'],"matthew mcconaughey,reese witherspoon,tye sheridan,jacob lofland,sam shepard,ray mckinnon,sarah paulson,michael shannon,joe don baker,paul sparks",United States,2012,PG-13,"drama,independent",netflix,7.4,24168690770097555,https://m.media-amazon.com/images/M/MV5BMTU2MzcyODgyNV5BMl5BanBnXkFtZTcwNTc4MDYwOQ@@._V1_SX300.jpg
TV Show,dinner for five,['unknown'],unknown,United States,2007,TV-MA,comedy,netflix,8.2,10833211355426086787,https://m.media-amazon.com/images/M/MV5BMTY5NTE1MTc2OF5BMl5BanBnXkFtZTcwMzg4MjYyMQ@@._V1_SX300.jpg
Movie,mean streets,['martin scorsese'],"robert de niro,harvey keitel,david proval,amy robinson,richard romanus,cesare danova,victor argo,george memmoli",United States,1973,R,"classic movies,drama,independent",netflix,7.2,5428716008508450343,https://m.media-amazon.com/images/M/MV5BMWNmNGY3ZGMtYWQ3OC00Zjg4LWFiN2EtZjM2MDI1YzRiNjg3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Movie,bareilly ki barfi,['ashwiny iyer tiwari'],"ayushmann khurrana,kriti sanon,rajkummar rao,pankaj tripathi,seema pahwa,rohit chaudhury,swati semwal",India,2017,TV-14,"comedy,drama,international",netflix,1.0,18322301475294404334,url
TV Show,mismatched,['unknown'],"prajakta koli,rohit saraf,vihaan samat,taaruk raina,vidya malavade,kritika bharadwaj,rannvijay singh,muskkaan jaferi,devyani shorey,suhasini mulay,abhinav sharma,ravin makhija",India,2020,TV-MA,"international,romance,comedy",netflix,5.9,8785701835420657835,https://m.media-amazon.com/images/M/MV5BOTUzMTMzNTgtNmI5NS00ZTI1LTgzMjYtZTFkZWZkYTE0MWMyXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg
Movie,beasts of no nation,['cary joji fukunaga'],"idris elba,abraham attah,kurt egyiawan,jude akuwudike,emmanuel king kong nii adom quaye,ama k abebrese,kobina amissah sam,francis weddey,richard pepple",United States,2015,TV-MA,"drama,independent",netflix,7.7,11131417514724606993,https://m.media-amazon.com/images/M/MV5BMTYwMzMzMDI0NF5BMl5BanBnXkFtZTgwNDQ3NjI3NjE@._V1_SX300.jpg
Movie,the hateful eight,['quentin tarantino'],"samuel l jackson,kurt russell,jennifer jason leigh,walton goggins,demián bichir,tim roth,michael madsen,bruce dern,james parks,dana gourrier,channing tatum,zoë bell",United States,2015,R,"action adventure,thriller",netflix,7.8,6020553664931691566,https://m.media-amazon.com/images/M/MV5BMjA1MTc1NTg5NV5BMl5BanBnXkFtZTgwOTM2MDEzNzE@._V1_SX300.jpg
Movie,odu raja odu,"['nishanth ravindaran', 'jathin sanker raj']","guru somasundaram,nasser,anand sami,lakshmi priyaa chandramouli,ashiqa salvan,ravindra vijay,abishek ks,venkatesh harinathan",India,2018,TV-14,"comedy,independent,international",netflix,6.9,3639302549688888385,https://m.media-amazon.com/images/M/MV5BMWE1YjJkYTQtNzdhMy00NjYyLWEyZGUtMDBhYTMzOWE2YzhjXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_SX300.jpg
TV Show,littlest pet shop a world of our own,['unknown'],"rhona rees,ingrid nilson,diana kaarina,travis turner,lili beaudoin,kyle rideout,vincent tong,alessandro juliani,ian hanlin,brittney wilson,bethany brown,tabitha st germain",United States,2018,TV-Y7,kids,netflix,7.0,10869068202821840784,https://m.media-amazon.com/images/M/MV5BMTI2ZjNiMDUtOGM5Ni00YmI3LWE1MjgtMDdjZmRiYTJjN2VhXkEyXkFqcGdeQXVyOTQ2MzUyNDk@._V1_SX300.jpg
Movie,ittefaq,['abhay chopra'],"sidharth malhotra,sonakshi sinha,akshaye khanna",India,2017,TV-MA,"drama,international,thriller",netflix,7.2,9059455225111926681,https://m.media-amazon.com/images/M/MV5BMjA1MDc5NzYzNl5BMl5BanBnXkFtZTgwMDQ0Mjc3MzI@._V1_SX300.jpg
Movie,no escape room,['alex merkin'],"jeni ross,mark ghanimé,hamza haq,kathyrn davis,dennis andres,brianna barnes",United States,2018,TV-14,horror,netflix,5.0,11209224360530128800,https://m.media-amazon.com/images/M/MV5BZTNiNjM0YjItNjJmMy00MDdhLWFmZGItZjA0ODhmMmM4ZGNhXkEyXkFqcGdeQXVyNzg3NjQyOQ@@._V1_SX300.jpg
Movie,white christmas,['michael curtiz'],"bing crosby,danny kaye,rosemary clooney,veraellen,dean jagger,mary wickes,john brascia,anne whitfield,george chakiris",United States,1954,TV-G,"family,classic movies,comedy",netflix,7.5,6881263767153001312,https://m.media-amazon.com/images/M/MV5BYjI0ZTk0ZjQtZTMzOS00NDdmLTk0YzUtZTQ4NGRkNWFhZTkxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
Movie,luv ka the end,['bumpy'],"taaha shah,shraddha kapoor,riya bamniyal,sreejita de,micky makhija,rahul pardasany,ali zafar,archana puran singh,pushtiie s,meherzan b mazda,jannat zubair rahmani,errol peter marks,neha gehlot,lavanya jain,shenaz treasuryvala,arjun sablok,mahabanoo mody kotwal",India,2011,18+,"comedy,drama,international",hotstar,4.9,11367354687512610337,https://m.media-amazon.com/images/M/MV5BMWUzMTIxNjYtYjY5NS00OTI5LThlNTEtNjA3NzI0ODkwNmYwXkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_SX300.jpg
TV Show,gossip girl,['unknown'],"blake lively,leighton meester,penn badgley,chace crawford,ed westwick,kelly rutherford,matthew settle,taylor momsen,jessica szohr,zuzanna szadkowski,connor paolo",United States,2012,TV-14,"drama,teen tv shows",netflix,7.5,12571477522119388009,https://m.media-amazon.com/images/M/MV5BNmQ4Zjg1YWYtMTA1Mi00ZGY1LTlmN2ItYTc5ODkzNTFmYWVhXkEyXkFqcGdeQXVyNjQ0OTk1ODg@._V1_SX300.jpg
Movie,sky high,['mike mitchell'],"kelly preston,lynda carter,michael angarano,danielle panabaker,mary elizabeth winstead,bruce campbell",United States,2005,PG,"action adventure,comedy,family",hotstar,6.3,4172923887155458910,https://m.media-amazon.com/images/M/MV5BZjA2NmY1OTQtMjE4Mi00NGRkLWFmODUtM2Q3ZTRlYjZhNWYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Movie,armageddon,['michael bay'],"bruce willis,billy thornton,liv tyler,ben affleck,will patton,peter stormare,keith david",United States,1998,PG-13,"action,adventure",hotstar,6.7,13706555392662695195,https://m.media-amazon.com/images/M/MV5BMGM0NzE2YjgtZGQ4YS00MmY3LTg4ZDMtYjUwNTNiNTJhNTQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
TV Show,crash  bernstein,['unknown'],"cole jensen,tim lagasse,landry bender,oana gregory,aaron landon",United States,2012,TV-Y7,"comedy,fantasy,kids",hotstar,5.0,4380610251313281903,https://m.media-amazon.com/images/M/MV5BMmNhNzc0N2EtZjVhZS00OWEyLTg0YjgtODc5YWI0NWNlYmNmXkEyXkFqcGdeQXVyMTE0NzY5OTk5._V1_SX300.jpg
Movie,halloweentown ii kalabars revenge,['mary lambert'],"kimberly brown,judith hoag,daniel kountz,joseph zimmerman,emily roeske,phillip van dyke",United States,2001,TV-PG,"action adventure,fantasy",hotstar,1.0,5560022552972113135,url
Movie,a week in watts,['gregory caruso'],unknown,United States,2017,TV-14,documentaries,netflix,6.2,9124985139117519536,https://m.media-amazon.com/images/M/MV5BZDFjMTYzMDctMzFiMS00MDQ1LTk2NTgtNWU4MDIzNTUwNTM1XkEyXkFqcGdeQXVyNjEzNjU2NzM@._V1_SX300.jpg
Movie,humpty sharma ki dulhania,['shashank khaitan'],"varun dhawan,alia bhatt,ashutosh rana,sidharth shukla,sahil vaid,gaurav pandey,jaswant daman,kenneth desai,deepika amin,mahnaz damania",India,2014,TV-14,"comedy,international,romance",netflix,6.0,2090251440333255527,https://m.media-amazon.com/images/M/MV5BMjE3MDA4NjMxN15BMl5BanBnXkFtZTgwMzc4NzkxMjE@._V1_SX300.jpg
Movie,the pelican brief,['alan j pakula'],"julia roberts,denzel washington,sam shepard,john heard,tony goldwyn,james sikking,william atherton,robert culp,stanley tucci,john lithgow,hume cronyn",United States,1993,PG-13,"drama,thriller",netflix,6.6,8168241773442309508,https://m.media-amazon.com/images/M/MV5BNmVjZjFkOTItOTViOC00ZmUyLTg4NTItYmQ3ZTM4N2ZlMmMwXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg
Movie,love  other drugs,['edward zwick'],"k k,jake gyllenhaal,anne hathaway,oliver platt,hank azaria,josh gad,gabriel macht",United States,2010,R,"comedy,drama",hotstar,6.7,1034138292931752888,https://m.media-amazon.com/images/M/MV5BMTgxOTczODEyMF5BMl5BanBnXkFtZTcwMDc0NDY4Mw@@._V1_SX300.jpg
Movie,katt williams live,['alphonso j wesson'],katt williams,United States,2006,NR,comedy,netflix,7.0,12636696462119563218,https://m.media-amazon.com/images/M/MV5BZTEyNTVmMmItMTUxYy00YTE3LWEwMGQtOThmOWI0YjEzMjMxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
Movie,the time travelers wife,['robert schwentke'],"rachel mcadams,eric bana,arliss howard,ron livingston,stephen tobolowsky,michelle nolden,jane mclean,hailey mccann,tatum mccann,brooklynn proulx,alex ferris",United States,2009,PG-13,"drama,romance,scifi",netflix,1.0,10079478016886597783,url
Movie,the fundamentals of caring,['rob burnett'],"paul rudd,craig roberts,selena gomez,jennifer ehle,megan ferguson,frederick weller,bobby cannavale",United States,2016,TV-MA,"comedy,drama,independent",netflix,7.3,15681350080210124791,https://m.media-amazon.com/images/M/MV5BMTA1Mjc4ODI0NzReQTJeQWpwZ15BbWU4MDQ3MzAwMjkx._V1_SX300.jpg
Movie,one 2 ka 4,['shashilal k nair'],"shah rukh khan,juhi chawla,jackie shroff,nirmal pandey,dilip joshi,sahila chaddha,suresh chatwal,bharat dabholkar,baby gazala,akash khurana",India,2001,TV-14,"action adventure,comedy,drama",netflix,5.5,243849725142602311,https://m.media-amazon.com/images/M/MV5BMzhkMTA4ODMtM2UyOC00ZGZlLWFhMjUtMmExZGIyMjE4YjNkXkEyXkFqcGdeQXVyOTA0NTIzNzU@._V1_SX300.jpg
Movie,yellowstone cubs,['charles draper'],rex allen,United States,1963,TV-PG,"animals  nature,comedy,family",hotstar,6.7,8265734289398642797,https://m.media-amazon.com/images/M/MV5BNjVjZDMzODItYTkzYi00NmYxLWJhOTgtOTQxYTQzM2FhODkzXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
Movie,one night stand,['jasmine dsouza'],"tanuj virwani,sunny leone,narendra jetley,aamir ahmed,kapil punjabi,madhurima banerjee,ninad kamat,geeta bisht",India,2016,TV-MA,"drama,international,music",netflix,5.9,2639795899739446722,https://m.media-amazon.com/images/M/MV5BYmM0ODFjZGEtYWQ2YS00NTk1LTkwODYtYTdjY2NkZDgzMzgwXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
Movie,melvin goes to dinner,['bob odenkirk'],"michael blieden,stephanie courtney,annabelle gurwitch,matt price,david cross,maura tierney,kathleen roll,jack black,jenna fischer,fred armisen",United States,2003,R,"comedy,drama,independent",netflix,6.7,1406341851345220557,https://m.media-amazon.com/images/M/MV5BMjE0NjUxNTc2OF5BMl5BanBnXkFtZTcwNzI5NTAwMQ@@._V1_SX300.jpg
Movie,little miss sunshine,"['jonathan dayton', 'valerie faris']","abigail breslin,greg kinnear,paul dano,alan arkin,steve carell,toni collette,grant hayes,justin shilton,alissa anderegg,jerry giles,beth grant",United States,2006,R,"comedy,drama",hotstar,7.8,8462329116617813014,https://m.media-amazon.com/images/M/MV5BMTgzNTgzODU0NV5BMl5BanBnXkFtZTcwMjEyMjMzMQ@@._V1_SX300.jpg
Movie,hawaizaada,['vibhu virender puri'],"ayushmann khurrana,mithun chakraborty,pallavi sharda,naman jain,jameel khan",India,2015,TV-14,"drama,international,romance",netflix,5.5,15573498747273041040,https://m.media-amazon.com/images/M/MV5BNDRiYmZjZjktNTkxMi00NGRjLWEzOGYtYTg5NmMyMjI1YzMwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg
TV Show,russell peters vs the world,['unknown'],russell peters,United States,2013,NR,"docuseries,comedy",netflix,1.0,791377701306767400,url
TV Show,spycraft,['unknown'],unknown,United States,2021,TV-MA,"docuseries,science nature",netflix,6.7,11788259068258291311,https://m.media-amazon.com/images/M/MV5BZTQ1NWFkYzEtNTViNy00NDNlLWI1ZTQtOTNlYjkyZjhjNDE4XkEyXkFqcGdeQXVyMTA3OTA3NTYz._V1_SX300.jpg
Movie,sex and the city 2,['michael patrick king'],"sarah jessica parker,kim cattrall,cynthia nixon,kristin davis,chris noth,john corbett,david eigenberg,evan handler,jason lewis,willie garson,mario cantone",United States,2010,R,"comedy,drama,romance",netflix,4.5,111024317595898256,https://m.media-amazon.com/images/M/MV5BMTM3OTUyNTI3MF5BMl5BanBnXkFtZTcwODcyMzM0Mw@@._V1_SX300.jpg
TV Show,cocomelon,['unknown'],unknown,United States,2021,TV-Y,kids,netflix,4.4,8424768490156169514,https://m.media-amazon.com/images/M/MV5BZDkxOGUzYjQtNWQ3Yi00ZDg0LWE4ZTEtZTk4YjMyMjY4YzQ3XkEyXkFqcGdeQXVyOTcyNTkzOTA@._V1_SX300.jpg
Movie,judy moody and the not bummer summer,['john schultz'],"jordana beatty,heather graham,parris mosteller,preston bailey,kristoffer ryan winters,garrett ryan,jaleel white,ashley boettcher,taylar hender,cameron boyce,jenica bergere,janet varney",United States,2011,PG,"family,comedy",netflix,4.3,12207551919597043051,https://m.media-amazon.com/images/M/MV5BMjA4NDc0NzI5OV5BMl5BanBnXkFtZTcwMjc0MDA4NA@@._V1_SX300.jpg
TV Show,skin decision before and after,['unknown'],unknown,United States,2020,TV-MA,"reality,science nature",netflix,6.0,13184815476640881663,https://m.media-amazon.com/images/M/MV5BNjNkNjIyN2ItM2RmOS00MzJlLTg5YWQtOTRjMDdkNjBjNzVmXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg
Movie,spy kids 2 the island of lost dreams,['robert rodriguez'],"antonio banderas,carla gugino,alexa penavega,daryl sabara,steve buscemi,mike judge,danny trejo,cheech marin,matt oleary,emily osment,ricardo montalban,holland taylor,alan cumming",United States,2002,PG,"family,comedy",netflix,1.0,2584757124535572623,url
TV Show,one strange rock,['unknown'],will smith,United States,2017,TV-PG,"animals  nature,docuseries,family",hotstar,8.7,11503415277072050287,https://m.media-amazon.com/images/M/MV5BMzBlYjhmYTMtNzY1ZS00ZGU2LWFmMzktYTg5ZGU1N2JlMGRmXkEyXkFqcGdeQXVyMTg3MDg4NzM@._V1_SX300.jpg
Movie,iron man  captain america heroes united,['leo riley'],"adrian pasdar,roger craig smith,fred tatasciore,david kaye,clancy brown,liam obrien,robin atkin downes,dee bradley baker",United States,2014,PG,"family,scifi",netflix,1.0,6722317958683690274,url
Movie,phineas and ferb the movie candace against the universe,['unknown'],"ashley tisdale,vincent martella,ali wong,dan povenmire,alyson stoner,maulik pancholy",United States,2020,TV-G,"action adventure,animation,comedy",hotstar,7.1,2885051933320374013,https://m.media-amazon.com/images/M/MV5BMGE2Mjc3YjAtZTcwNy00YjgyLWEyNDYtZjBiOGI1N2JkNzkzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
Movie,"frankenstein’s monster’s monster, frankenstein",['daniel gray longino'],"david harbour,alex ozerov,kate berlant,mary woronov,alfred molina,heather lawless,michael lerner,marion van cuyck,bridey elliott,olan jones,lidia porto,graham wagner,randolph thompson",United States,2019,TV-14,comedy,netflix,5.8,14834337172895252831,https://m.media-amazon.com/images/M/MV5BNzM1ODlhOTUtMDgxNy00ZTkyLWJmNmEtODg2MmJjNmExMzliXkEyXkFqcGdeQXVyMTkzMTc3Ng@@._V1_SX300.jpg
TV Show,the walking dead,['unknown'],"andrew lincoln,steven yeun,norman reedus,chandler riggs,melissa mcbride,lauren cohan,danai gurira,alanna masterson,sonequa martingreen,josh mcdermitt,christian serratos,seth gilliam,ross marquand,lennie james,emily kinney,jon bernthal",United States,2019,TV-MA,"cult,action adventure,drama",netflix,8.1,2662826883862304985,https://m.media-amazon.com/images/M/MV5BZmU5NTcwNjktODIwMi00ZmZkLTk4ZWUtYzVjZWQ5ZTZjN2RlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
Movie,tangled before ever after,"['tom caulfield', 'stephen sandoval']","zachary levi,mandy moore,eden espinosa,clancy brown,julie bowen,laura benanti",United States,2017,TV-Y7,"animation,coming of age,fantasy",hotstar,6.5,9077478467171147803,https://m.media-amazon.com/images/M/MV5BYzZkYzIwNGUtZmNiMC00NGQ1LWFmN2UtODU0YzhiYjBjYmQyXkEyXkFqcGdeQXVyNjg3MDM4Mzc@._V1_SX300.jpg
